image_path,dataset,foreground_fraction,n_components,largest_component_fraction,sam_score
data\raw\riceleafbd\Bacterial Leaf Blight\310786053_1525316674560353_7049264138852649689_n.jpg,riceleafbd,0.1956160441625558,1,0.1956160441625558,0.77937912940979
data\raw\riceleafbd\Bacterial Leaf Blight\310793904_3186523691659403_5383376354122925282_n (1).jpg,riceleafbd,0.22893518518518519,1,0.22893518518518519,0.9974957704544067
data\raw\riceleafbd\Bacterial Leaf Blight\310800911_1086292778725443_5354534637381279077_n.jpg,riceleafbd,0.6035844092135483,1,0.6035844092135483,0.9858779907226562
data\raw\riceleafbd\Bacterial Leaf Blight\310806656_1155600812023590_376145728074683356_n (1).jpg,riceleafbd,0.023727494855967077,1,0.023727494855967077,0.9764890074729919
data\raw\riceleafbd\Bacterial Leaf Blight\310806656_1155600812023590_376145728074683356_n.jpg,riceleafbd,0.023727494855967077,1,0.023727494855967077,0.9764890074729919
data\raw\riceleafbd\Bacterial Leaf Blight\310807976_811879566593115_3526807662723242232_n.jpg,riceleafbd,0.0006393523247455832,1,0.0006393523247455832,0.9035822153091431
data\raw\riceleafbd\Bacterial Leaf Blight\310816588_683444686539952_5848690206784441184_n (1).jpg,riceleafbd,0.9821219135802469,1,0.9821219135802469,0.999826192855835
data\raw\riceleafbd\Bacterial Leaf Blight\310816588_683444686539952_5848690206784441184_n.jpg,riceleafbd,0.9821219135802469,1,0.9821219135802469,0.999826192855835
data\raw\riceleafbd\Bacterial Leaf Blight\310824213_855040892191393_2275687619532873530_n.jpg,riceleafbd,0.9857793587849571,1,0.9857793587849571,0.9606442451477051
data\raw\riceleafbd\Bacterial Leaf Blight\310828816_690325272284589_9142632844752404553_n.jpg,riceleafbd,0.12701202025748978,1,0.12701202025748978,1.0005841255187988
data\raw\riceleafbd\Bacterial Leaf Blight\310828818_502045418606703_6319544330287836103_n.jpg,riceleafbd,0.08811775732788003,1,0.08811775732788003,0.9939388036727905
data\raw\riceleafbd\Bacterial Leaf Blight\310828818_801077407864911_6593082883199240119_n.jpg,riceleafbd,0.09745901956235986,1,0.09745901956235986,0.9935954809188843
data\raw\riceleafbd\Bacterial Leaf Blight\310839695_5693966490642265_4289994576722985164_n.jpg,riceleafbd,0.10910636118096302,1,0.10910636118096302,0.9799751043319702
data\raw\riceleafbd\Bacterial Leaf Blight\310852417_3265459660435599_1909107167551415250_n.jpg,riceleafbd,0.1013983801569223,1,0.1013983801569223,0.9871182441711426
data\raw\riceleafbd\Bacterial Leaf Blight\310853518_1159479021645279_1488304423547265573_n.jpg,riceleafbd,0.5182322883049024,1,0.5182322883049024,1.0008524656295776
data\raw\riceleafbd\Bacterial Leaf Blight\310854028_435802855205808_7539885840348190946_n.jpg,riceleafbd,0.04826594345825115,1,0.04826594345825115,0.9745718836784363
data\raw\riceleafbd\Bacterial Leaf Blight\310860211_1195211697757300_6481156105053704010_n.jpg,riceleafbd,0.14111038203557888,1,0.14111038203557888,1.003952980041504
data\raw\riceleafbd\Bacterial Leaf Blight\310899607_1814307275582501_3557432218080740998_n.jpg,riceleafbd,0.11388067061143985,1,0.11388067061143985,0.9951905012130737
data\raw\riceleafbd\Bacterial Leaf Blight\310910786_497041972358154_3724793616908977131_n.jpg,riceleafbd,0.8732963847957874,1,0.8732963847957874,0.9876621961593628
